what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1361057434017
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1361057434100
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1361057434112
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057439054
started,bundle,com.objectaid.uml.cls.java,1.0.11,"com.objectaid.uml.cls.java",1361057451329
started,bundle,com.objectaid.uml.java,1.0.11,"com.objectaid.uml.java",1361057451346
started,bundle,org.eclipse.ant.ui,3.5.300.v20120523-1752,"org.eclipse.ant.ui",1361057451376
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1361057451422
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1361057451601
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1361057452172
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1361057452361
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057452596
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057453287
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057453856
closed,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1361057454378
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057455271
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1361057456038
executed,command,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.edit.text.java.rename.element",1361057456306
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057456310
activated,view,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.views.ProblemView",1361057462873
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057473321
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057478739
started,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20120522-1651,"org.eclipse.jdt.apt.ui",1361057489592
error,log,,,"",1361057511557
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.properties",1361057511635
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057511640
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057511790
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057514902
activated,view,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.views.ProblemView",1361057518543
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057519711
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057519829
activated,view,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.views.ProblemView",1361057520056
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057527508
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057534663
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057552376
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057557451
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057561258
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.properties",1361057577845
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057577848
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057585490
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057601708
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057604545
executed,command,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.project.cleanAction",1361057605510
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057605514
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057606326
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057611414
executed,command,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.project.buildAll",1361057618356
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057618705
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057619799
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057624669
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057638320
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057642577
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057642669
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057642861
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057652276
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057656706
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057658083
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057659737
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057659948
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057660053
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057660264
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057667262
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057696510
executed,command,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.edit.text.java.externalize.strings",1361057751533
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057751534
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057754543
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057754756
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057754871
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361057755083
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057781554
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057782916
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.delete",1361057783714
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361057783716
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361057787270
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.delete",1361057791078
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.delete",1361057793132
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.delete",1361057794942
