what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1362436801361
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1362436801361
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1362436801361
java.specification.name,sysinfo,,,"Java Platform API Specification",1362436801361
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362436801361
java.specification.version,sysinfo,,,"1.6",1362436801361
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1362436801361
java.version,sysinfo,,,"1.6.0_24",1362436801361
java.vm.info,sysinfo,,,"mixed mode",1362436801361
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1362436801361
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362436801361
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362436801361
java.vm.specification.version,sysinfo,,,"1.0",1362436801361
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1362436801361
java.vm.version,sysinfo,,,"20.0-b12",1362436801361
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362437124971
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1362437126895
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1362437126963
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1362437126992
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1362437128805
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1362437128912
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437141359
started,bundle,org.eclipse.jdt.junit,3.7.100.v20120523-1543,"org.eclipse.jdt.junit",1362437141793
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1362437142531
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437142595
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437143785
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437143996
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437145324
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362437159112
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362437173343
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362437724022
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437724325
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437724434
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362437724640
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362437735519
started,bundle,org.eclipse.jdt.junit.core,3.7.100.v20120523-1257,"org.eclipse.jdt.junit.core",1362437786784
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362437792276
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362437972763
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362437981965
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362437983313
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1362438108897
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362438123391
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362438123631
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362438123744
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362438123960
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362438130261
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1362438153698
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362438153723
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362438155449
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362438167094
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362438167396
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362438173742
