what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362441650777
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1362441667854
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362441672146
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362441680955
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362441681302
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362441710646
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362441716079
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1362441761255
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362441762414
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362441820532
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362441822892
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362441864042
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362441865033
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362441931094
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362441932837
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1362441946628
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362441948166
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362442143204
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362442323064
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362442365838
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362442379465
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442379618
error,log,,,"Launch shortcut 'org.python.pydev.debug.ui.launchShortcut.ironpython' enablement expression caused exception. Shortcut was removed.",1362442382476
error,log,,,"Launch shortcut 'org.python.pydev.debug.ui.launchShortcut.ironpython.unittest' enablement expression caused exception. Shortcut was removed.",1362442382477
error,log,,,"Launch shortcut 'org.python.pydev.debug.ui.launchShortcut.jython' enablement expression caused exception. Shortcut was removed.",1362442382479
error,log,,,"Launch shortcut 'org.python.pydev.debug.ui.launchShortcut.jython.unittest' enablement expression caused exception. Shortcut was removed.",1362442382480
error,log,,,"Launch shortcut 'org.python.pydev.debug.ui.launchShortcut.python' enablement expression caused exception. Shortcut was removed.",1362442382481
error,log,,,"Launch shortcut 'org.python.pydev.debug.ui.launchShortcut.python.unittest' enablement expression caused exception. Shortcut was removed.",1362442382482
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362442383493
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442385086
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442385196
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442385477
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442387032
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442401908
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442402157
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442402339
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442404158
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362442406003
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442407058
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442407281
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442407491
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442408167
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362442409373
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1362442445517
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442451742
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442451975
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442452192
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442456942
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442461250
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442461495
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442461713
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442469930
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362442475551
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362442476500
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1362442518825
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442521667
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442523803
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442524022
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442525142
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1362442708277
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442723193
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442723455
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362442723666
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362442726936
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1362442814847
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362442818166
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443012707
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362443012794
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362443013042
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362443013247
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362443015316
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362443020945
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443024436
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443024700
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443027795
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443028086
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443030228
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443030508
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443035932
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443042028
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443069901
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443111546
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362443113046
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362443134077
