what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059572627
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059577413
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059594276
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361059594382
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361059594612
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361059594804
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361059596410
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1361059617238
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1361059620175
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059660684
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059676447
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059691971
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059717042
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1361059717844
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059721180
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059721454
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361059723776
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361059725693
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1361059730037
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1361059732801
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059758287
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059787037
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059791508
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059791822
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1361059841551
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361059845311
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1361059887481
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361059896131
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361059899869
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361060728638
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361060728943
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361060735010
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361060755422
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361060755837
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361060756017
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361060767766
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061025015
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1361061025522
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061031252
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061059619
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061088309
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061092081
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061099933
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061170744
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061174725
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361061215060
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361061215187
opened,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1361061218492
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1361061218844
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361061220458
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1361061223612
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1361061224946
error,log,,,"Could not read Manifest data",1361061233076
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1361061233272
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081153896
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081157428
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081158826
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081175792
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081177079
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081189107
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081190566
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081200022
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1361081200051
closed,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1361081205141
closed,view,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.views.ProblemView",1361081205201
closed,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1361081205228
closed,view,org.eclipse.ui.views,3.6.100.v20120705-114010,"org.eclipse.ui.views.ContentOutline",1361081205252
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361081205284
closed,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1361081205662
