what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360645217171
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1360645224037
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645226940
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645468481
activated,view,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.DebugView",1360645468603
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1360645473330
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360645479055
activated,view,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.DebugView",1360645487040
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645494252
executed,command,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.project.cleanAction",1360645495721
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645495727
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645496700
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645501304
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360645515992
activated,perspective,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.JavaPerspective",1360645516078
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645516786
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360645516854
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360645517277
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360645517385
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360647904621
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360647924858
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360647926016
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360647931329
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360647933592
executed,command,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.project.cleanAction",1360647954661
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360647954672
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360647955521
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360647981107
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648006508
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360648041993
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360648042235
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648042586
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648042611
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648042617
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360648042670
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360648043820
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648045243
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648062304
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648062317
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648106057
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360648129229
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360648166774
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360648220681
