what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626131856
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1360626142691
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626142706
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626151265
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626164258
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626233353
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360626237836
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626740994
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1360626752678
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1360626759386
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360626764275
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626770261
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.properties",1360626774808
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626774809
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1360626788940
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626790358
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626813170
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360626816568
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627279774
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1360627293753
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627295106
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627295144
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360627298187
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1360627306586
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360627310940
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360627325650
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1360627338258
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627352170
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1360627496897
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627497322
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627497323
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627498658
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1360627511555
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360627514918
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360627518161
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627525477
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627760713
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627783350
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627806881
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360627809509
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360627811956
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627815658
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627841168
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627868705
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360627874184
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360627999032
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1360628012312
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628049901
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628062263
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628080286
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628160243
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628160244
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628160288
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628161745
executed,command,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.project.cleanAction",1360628179235
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628179243
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628205573
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360628285850
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1360628293828
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360628296301
