what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620058120
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620063113
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620063882
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620065044
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360620066725
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360620067568
started,bundle,org.eclipse.jdt.junit.core,3.7.100.v20120523-1257,"org.eclipse.jdt.junit.core",1360620068440
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620068977
started,bundle,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms",1360620071373
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620071428
started,bundle,com.android.ide.eclipse.traceview,21.0.1.v201212060256-543035,"com.android.ide.eclipse.traceview",1360620074717
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620090922
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620095165
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620110852
opened,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360620114430
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1360620114471
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620114595
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360620114629
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620138801
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620185790
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360620188125
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1360620207464
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1360620207509
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1360620208295
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360620209231
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1360620216788
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620250198
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620262346
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1360620263388
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360620299932
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620308374
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620339981
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620367595
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620375139
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620379535
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620439692
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620457100
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1360620497437
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.properties",1360620497677
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620497742
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620512674
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620514596
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620519261
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620520679
activated,view,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.views.ProblemView",1360620521716
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360620534668
activated,view,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.views.ProblemView",1360620544086
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1360620548485
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1360620561432
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620605474
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620605488
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620684970
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1360620715121
